epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1228.73,1.14289,5.60263,1.12854,0.00351,0.13948,0.00275,0.00253,0.4628,5.02577,0.82783,1.52633e-05,1.52633e-05,1.52633e-05
2,2314.85,0.62988,4.96647,0.89064,0.00999,0.49634,0.0096,0.00805,0.41017,4.61288,0.84138,3.02937e-05,3.02937e-05,3.02937e-05
3,3396.34,0.57427,4.59993,0.89012,0.00727,0.54993,0.01473,0.01238,0.41772,4.3376,0.85814,4.50206e-05,4.50206e-05,4.50206e-05
4,4473.81,0.53736,4.34115,0.88523,0.20394,0.053,0.03197,0.02905,0.34555,4.07927,0.83474,4.46338e-05,4.46338e-05,4.46338e-05
5,5552.18,0.50765,4.11891,0.88086,0.22387,0.08482,0.07288,0.06759,0.33068,3.85804,0.82652,4.41784e-05,4.41784e-05,4.41784e-05
6,6638.56,0.48441,3.9299,0.87561,0.26006,0.15335,0.13143,0.12424,0.30533,3.63873,0.82003,4.3723e-05,4.3723e-05,4.3723e-05
7,7712.87,0.47212,3.73797,0.87376,0.28321,0.26236,0.24028,0.2284,0.29964,3.32858,0.81447,4.32676e-05,4.32676e-05,4.32676e-05
8,8789.21,0.4594,3.51335,0.86412,0.31614,0.391,0.36462,0.34883,0.29637,2.99216,0.81207,4.28122e-05,4.28122e-05,4.28122e-05
9,9865.23,0.46575,3.28676,0.86826,0.43803,0.50973,0.52095,0.50208,0.29658,2.66692,0.80939,4.23568e-05,4.23568e-05,4.23568e-05
10,10931.7,0.45462,3.04842,0.86331,0.61743,0.63362,0.6943,0.67518,0.27929,2.3115,0.80395,4.19014e-05,4.19014e-05,4.19014e-05
11,12000.4,0.45004,2.78855,0.86207,0.73354,0.73948,0.80757,0.78241,0.28959,1.97335,0.80975,4.1446e-05,4.1446e-05,4.1446e-05
12,13074.2,0.44215,2.55578,0.86152,0.79998,0.82818,0.89979,0.88292,0.25646,1.67403,0.79991,4.09906e-05,4.09906e-05,4.09906e-05
13,14144.4,0.42324,2.32237,0.85458,0.877,0.8887,0.94061,0.92468,0.25485,1.47406,0.7996,4.05352e-05,4.05352e-05,4.05352e-05
14,15212.4,0.41493,2.12667,0.85308,0.91214,0.92288,0.96744,0.95311,0.24562,1.30128,0.79786,4.00798e-05,4.00798e-05,4.00798e-05
15,16278.3,0.39941,1.95159,0.84539,0.94246,0.94648,0.98405,0.96936,0.24583,1.14621,0.79749,3.96244e-05,3.96244e-05,3.96244e-05
16,17352.3,0.39517,1.83914,0.84677,0.9611,0.96145,0.98823,0.97891,0.22351,1.03663,0.79303,3.9169e-05,3.9169e-05,3.9169e-05
17,18482.2,0.38448,1.69412,0.84198,0.97501,0.98072,0.99256,0.98229,0.22591,0.94254,0.79387,3.87136e-05,3.87136e-05,3.87136e-05
18,19551,0.3725,1.59099,0.83767,0.98097,0.98501,0.99365,0.98397,0.22416,0.88239,0.79075,3.82582e-05,3.82582e-05,3.82582e-05
19,20625.3,0.36049,1.49826,0.8365,0.9887,0.993,0.99431,0.9881,0.20857,0.81146,0.78971,3.78028e-05,3.78028e-05,3.78028e-05
20,21692.9,0.35685,1.42511,0.8362,0.98826,0.99245,0.99457,0.98884,0.20579,0.7717,0.78831,3.73474e-05,3.73474e-05,3.73474e-05
21,22757.6,0.34518,1.36369,0.83117,0.99213,0.99507,0.9947,0.98954,0.19837,0.73672,0.78736,3.6892e-05,3.6892e-05,3.6892e-05
22,23828.6,0.33853,1.29455,0.82999,0.9936,0.99547,0.99473,0.99062,0.19589,0.70087,0.78631,3.64366e-05,3.64366e-05,3.64366e-05
23,24896.1,0.32963,1.24171,0.82812,0.99385,0.99594,0.99473,0.99111,0.18709,0.67726,0.78508,3.59812e-05,3.59812e-05,3.59812e-05
24,25968.1,0.32585,1.20626,0.82801,0.99538,0.99659,0.99497,0.99082,0.19117,0.65386,0.78504,3.55258e-05,3.55258e-05,3.55258e-05
25,27036,0.32239,1.16913,0.82252,0.99573,0.99789,0.99499,0.99112,0.19,0.63573,0.78385,3.50704e-05,3.50704e-05,3.50704e-05
26,28112.1,0.31604,1.12468,0.82239,0.99502,0.99749,0.99497,0.9917,0.18907,0.62494,0.78372,3.4615e-05,3.4615e-05,3.4615e-05
