epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1299.53,1.04661,5.49672,1.05451,0.00498,0.22527,0.00455,0.00413,0.4782,4.95293,0.8354,1.59269e-05,1.59269e-05,1.59269e-05
2,2632.61,0.60691,4.88785,0.886,0.00619,0.51649,0.00805,0.00738,0.4279,4.49476,0.85977,3.16109e-05,3.16109e-05,3.16109e-05
3,3798.87,0.54494,4.47943,0.88608,0.00715,0.62588,0.01845,0.01659,0.37299,4.19413,0.84471,4.6978e-05,4.6978e-05,4.6978e-05
4,4970.49,0.50925,4.17833,0.88491,0.25947,0.06882,0.04953,0.04474,0.3466,3.9169,0.83104,4.65744e-05,4.65744e-05,4.65744e-05
5,6129.77,0.48741,3.93791,0.87929,0.21818,0.14778,0.11148,0.10306,0.32883,3.6342,0.82508,4.60992e-05,4.60992e-05,4.60992e-05
6,7283.78,0.46548,3.69707,0.87241,0.29459,0.27059,0.2223,0.21018,0.31742,3.29488,0.81923,4.5624e-05,4.5624e-05,4.5624e-05
7,8455.18,0.45791,3.44109,0.87121,0.4066,0.42049,0.40683,0.38458,0.33733,2.9095,0.81978,4.51488e-05,4.51488e-05,4.51488e-05
8,9641.66,0.45167,3.14457,0.86655,0.48621,0.56461,0.57477,0.54887,0.31703,2.49698,0.81578,4.46736e-05,4.46736e-05,4.46736e-05
9,11341.4,0.44009,2.85349,0.86374,0.66938,0.69196,0.74712,0.72025,0.29714,2.08971,0.81022,4.41984e-05,4.41984e-05,4.41984e-05
10,12943.1,0.42804,2.56265,0.86032,0.77074,0.78876,0.8607,0.83436,0.28428,1.75672,0.80632,4.37232e-05,4.37232e-05,4.37232e-05
11,14183.3,0.41362,2.29329,0.85542,0.8527,0.85198,0.92704,0.907,0.26501,1.47793,0.80268,4.3248e-05,4.3248e-05,4.3248e-05
12,15350.7,0.40529,2.06551,0.85346,0.90525,0.89597,0.95965,0.93737,0.26422,1.28855,0.80216,4.27728e-05,4.27728e-05,4.27728e-05
13,16518.3,0.38768,1.86044,0.84849,0.93906,0.93664,0.97961,0.96137,0.25345,1.13044,0.80059,4.22976e-05,4.22976e-05,4.22976e-05
14,17681.2,0.37396,1.70375,0.8443,0.95606,0.96027,0.98817,0.97249,0.24184,1.00941,0.79702,4.18224e-05,4.18224e-05,4.18224e-05
15,18853.1,0.36328,1.57662,0.84042,0.97312,0.97289,0.9922,0.97891,0.23044,0.91458,0.79393,4.13472e-05,4.13472e-05,4.13472e-05
